Bavarian dialect,German,Meaning,Factual similarity,Grammar differs?,Reasons?
"De Nochboagmoana san: Chambave, Champorcher, Châtillon, Fénis, Issogne, Montjovet, Pontey und Verrès.","Die Nachbargemeinden sind Chambave, Champorcher, Châtillon, Fénis, Issogne, Montjovet, Pontey und Verrès.",5.0,,False,
"De Nochboagmoana san Calosso, Camo, Canelli, Castiglione Tinella, Coazzolo, Cossano Belbo, Loazzolo und Mango.","Die Nachbargemeinden sind Calosso, Camo, Canelli, Castiglione Tinella, Coazzolo, Cossano Belbo, Loazzolo und Mango.",5.0,,False,
Im Zug vo de Vawoitungsreforma in Bayern san midm Gmoaedikt vo 1818 de Gmoana Großwelzheim und Dettingen am Main entstondn.,Im Zuge der Verwaltungsreformen in Bayern entstanden mit dem Gemeindeedikt von 1818 die Gemeinden Großwelzheim und Dettingen am Main.,5.0,,True,grammar differs
"An Bezruč sa Dichtung u Poetik is konkret, regional varankat, ""bálládisch"", nazional u sozial gstimmt, owa aa ""lejdarisch"" u pseidofolkloristisch.","Karel widmete sich dem Drama, dem Realismus und hauptsächlich der utopischen Literatur.",1.0,,False,
Ehemoiige Marinestreitkräfte san in da Listn vo de historischn Marinestreitkräfte gnennd.,Ehemalige Marinestreitkräfte sind in der Liste der historischen Marinestreitkräfte genannt.,5.0,,False,
Wartmannsroth is a Gmoa im untafränkischn Landkroas Bad Kissingen.,Wartmannsroth ist eine Gemeinde im unterfränkischen Landkreis Bad Kissingen.,5.0,,False,
"Sein Noma hod de Ortschoft ""Laudenbach"" vom Laudenbach, der gengüba in de Kahl mindt.","Seinen Namen hat die Ortschaft ""Laudenbach"" vom Laudenbach, der gegenüber in die Kahl mündet.",5.0,,False,
Lückeroth hod 1939 a Lehr zum Vasicharungskaufmogehuifn beendt und hod nochm Zwoatn Wödkriag in am Kölna Vasicherungsuntanehmn goabat.,Lückeroth beendete 1939 eine Lehre zum Versicherungskaufmannsgehilfen und arbeitete nach dem Zweiten Weltkrieg in einem Kölner Versicherungsunternehmen.,5.0,,True,grammar differs
"De meistn vo seine Schnitzarbeitn warn für den christlichn Hausgebrauch: Kreiz fian Herrgodswinkel, Krippal, Muaddagottesfigurn, Heilige, Engal und Haussegn.","Neben Neubestellungen von Kruzifixen, Madonnen, Heiligen- und Krippenfiguren wurden ihm regelmäßig beschädigte Schnitzereien zur Restaurierung übergeben.",2.0,,False,
Fechenbach is 1214 easchtmoi urkundli eawähnt worn.,Fechenbach wurde 1214 erstmals urkundlich erwähnt.,5.0,,True,grammar differs
Da Sitz vo da Vawoitung is Jackson.,"Der Verwaltungssitz (County Seat) ist Jackson, das nach Präsident Andrew Jackson benannt wurde.",3.0,The dialect sentence misses details,False,
Sitz vo da Vawoitungsgmoaschoft is in Heustreu.,Sitz der Verwaltungsgemeinschaft ist in Heustreu.,5.0,,False,
"Des Doaf liegt an oam rechtn Zuafluss vo da Ampfrach, de wiedarum a rechta Zuafluss vo da Wörnitz is.","Das Dorf liegt am Altweiherbach, der ein rechter Zufluss der Ampfrach ist, die wiederum ein rechter Zufluss der Wörnitz ist.",4.0,The dialect sentence misses details,False,
Im Joar 2011 hods 8439 Eihwohna ghod.,Im Jahr 2011 hatte es 8439 Einwohner.,5.0,,False,grammar differs
"Da Gmoanam stommt vom ""Mons Aureus"" (goidna Beag).","Der Gemeindename stammt vom ""Mons Aureus"" (goldener Berg).",5.0,,False,
Da Sitz vo da Vawoitung is Homer.,"Der Verwaltungssitz (Parish Seat) ist Homer, benannt nach dem griechischen Dichter Homer.",3.0,The dialect sentence misses details,False,
"Er werd gebietsweise aa ""Mühlbach"" und ""Schleifersbach"" gnennt.","Er wird abschnittsweise auch ""Flurbach"", ""Mühlbach"" und ""Schleifersbach"" genannt.",4.0,The dialect sentence misses details,False,
Es bstähd aus 13 Kantone und 155 Gmoana.,Es besteht aus 13 Kantonen und 143 Gemeinden.,4.0,Major factual inconsistency,False,
Dieses on sei hächsdn Punktn fost 5000 Meta houche Gebiag is kaum eafoaschd.,Dieses an seinen höchsten Punkten fast 5000 Meter hohe Gebirge ist kaum erforscht.,5.0,,False,
Naisa liegd im Ellerntal af ana Häh vo .,Naisa liegt im Ellerntal auf einer Höhe von .,,,False,both are incomplete
Jeds Joar treffn se de CWG-Midglieda zwoa Moi: af ana Fruahjoarskonfarenz in Eiropa und af ana Hiachstkonfarenz in Noadamerika.,Jedes Jahr treffen sich die CWG-Mitglieder zweimal: auf einer Frühjahrskonferenz in Europa und auf einer Herbstkonferenz in Nordamerika.,5.0,,False,
Greßta Ort is Darfo Boario Terme.,Größter Ort ist Darfo Boario Terme.,5.0,,False,
"Anno 1764 is am ""Behmweg"" fia de ""Säuma"" aus ana Schutzhittn, de feste Schutz- und Eikehrstät ""Zwiesla Woidhaus"" baut worn.","Aus einer Schutzhütte entstand 1764 am sogenannten Böhmweg für die Säumer die feste Schutz- und Einkehrstätte ""Zwieseler Waldhaus"".",4.0,The dialect sentence adds details,False,"grammar and
sentence struct.
differ"
"In da Hohenzollern Biathlonarena san 2004, 2008 und 2011 de deitschn Moasdaschaftn im Summabiathlon ausdrong worn, 2011 mit 1300 Midmocha.","Im zugehörigen Hohenzollern-Skistadion wurden 2004, 2008 und 2011 die deutschen Meisterschaften im Sommerbiathlon ausgetragen, 2011 mit 1300 Teilnehmern.",4.0,The dialect sentence misses details,True,grammar differs
Sonderhof gheat zua Pforrei Sankt Vitus in Huisheim.,Sonderhof gehört zur Pfarrei Sankt Vitus in Huisheim.,5.0,,False,
Da buigarische Zentroistoot bstähd seit 1999 aus 28 Vawoitungsbeziake (Oblaste).,Der bulgarische Zentralstaat besteht seit 1999 aus 28 Verwaltungsbezirken (Oblaste).,5.0,,False,
Da Ort werd easchtmois 1525 im Zammhong midm Oberamt Wettenhausen gnennt.,Der Ort wird erstmals 1525 im Zusammenhang mit dem Oberamt Wettenhausen genannt.,5.0,,False,
"De Nochboagmoana san: Campofelice di Roccella, Cefalù, Collesano und Gratteri.","Die Nachbargemeinden sind Campofelice di Roccella, Cefalù, Collesano und Gratteri.",5.0,,False,
Dieppe is a Stod om Petitcodiac River mid 23.310 Eihwohna im Sidostn vo da kanadischn Provinz New Brunswick.,Dieppe ist eine Stadt am Petitcodiac River mit 25.384 Einwohnern (Stand: 2016) im Südosten der kanadischen Provinz New Brunswick.,4.0,Major factual inconsistency,False,
"Da Beziak hod a Fläche vo 3.178 Quadratkilometa, dovo san 473 Quadratkilometa Wossafläche.","Es hat eine Fläche von 3.178 Quadratkilometern, wovon 473 Quadratkilometer Wasserfläche sind.",4.0,The dialect sentence adds details,False,
De Rusa entspringd om Rond van Moskaua Hähnruckn in da Oblast Smolensk unweid vo da Grenz za Oblast Moskau.,Die Rusa entspringt am Rande des Moskauer Höhenrückens in der Oblast Smolensk unweit der Grenze zur Oblast Moskau.,5.0,,False,
Danoch knickta fia uma 600 Meta noch Westn ob.,Danach knickt er für etwa 600 Meter nach Westen ab.,5.0,,False,
"Des entspricht ana prozentualn Obnohme vo 2,9 %.","Dies entspricht einer prozentualen Abnahme von 2,9 %.",5.0,,False,
Am 1. Jenna 1976 is de Eihgmoanung in de Gmoa Buchdorf eafoigt.,Am 1. Januar 1976 erfolgte die Eingemeindung in die Gemeinde Buchdorf.,5.0,,True,grammar differs
"Voasitznda vo da Vawoitungsgmoaschoft is Waldemar Brohm, da Buagamoasta vo Margetshöchheim.","Vorsitzender der Verwaltungsgemeinschaft ist Waldemar Brohm, der Bürgermeister von Margetshöchheim.",5.0,,False,
2 km neadli valafft de Autobahn A 70 mid da Onschlussstej Werneck (AS 3).,Durch Ettleben führt die Bundesstraße 26. 2 km nördlich verläuft die Autobahn A70 mit der Anschlussstelle Werneck (AS 3).,3.0,The dialect sentence misses details,False,
Riedhof is a Ortstei vo da obabayerischn Gmoa Egling im Landkroas Bad Däiz-Woifradshausn.,Riedhof ist ein Ortsteil der oberbayerischen Gemeinde Egling im Landkreis Bad Tölz-Wolfratshausen.,5.0,,False,
"Heston und Isleworth woan uaspringli Civil parishes in da Harde ""(hundred)"" Isleworth.","Heston und Isleworth waren ursprünglich Civil parishes in der Harde ""(hundred)"" Isleworth.",5.0,,False,
Da Delice Çayı (aa: Delice Irmağı) is a rechta Nemfluss vom Kızılırmak in Zentroianatolien (Tiakei).,"Der Delice Çayı (auch ""Delice Irmağı"") ist ein rechter Nebenfluss des Kızılırmak in Zentralanatolien (Türkei).",5.0,,False,
"Er mindd gengiwa'n Goidboch in de ""Kahl"".","Er mündet gegenüber dem Goldbach in die ""Kahl"".",5.0,,False,
"Demgengiwa bezeichnt ""Methodik"" as Methodnwissn vom Praktika oda vom Wissnschoftla.","Demgegenüber bezeichnet ""Methodik"" das Methodenwissen des Praktikers oder des Wissenschaftlers.",5.0,,False,
"Botzenweiler liegt an da Stootsstroß 2218, zwischn Dinkelsbühl und Wassertrüdingen.","Die Staatsstraße 2218 führt zur Bundesstraße 25 bei Dinkelsbühl (1,7 km südwestlich) bzw. nach Sinbronn (1,7 km östlich).",2.0,,False,
Costa Masnaga is mid Clonmel in partnaschoftli vabundn.,Costa Masnaga ist mit Clonmel in Irland partnerschaftlich verbunden.,4.0,The dialect sentence misses details,False,
"Da Ontei on da Gsomtbevejkarung vo Schwedn is da gringste unta de Provinzn und betrogt 0,6 %.","Der Anteil an der Gesamtbevölkerung Schwedens ist der geringste unter den Provinzen und beträgt 0,6 %.",5.0,,False,
"Da Birklichsgraben mindt boam Lindenhof nordestli vom Ort in an Grundgraben, wo im estlichn Ort mitm Kettlichsgraben zuam Karbach zsommfliaßt.",Der Karbach entsteht in Billingshausen durch Zusammenfluss von Grundgraben und Kettlichsgraben.,3.0,The dialect sentence adds details,False,
Da franzesische Journalist Henri Alleg hod Folta und Hoft iwalebd.,Der französische Journalist Henri Alleg überlebte Folter und Haft.,5.0,,True,grammar differs
Olladings is de Neigliedarung 2015 doch umgsetzt und Kasaï-Occidental in zwoa neie Provinzn afteit worn: Kasaï und Kasaï-Central.,Allerdings wurde die Neugliederung 2015 doch umgesetzt und Kasaï-Occidental wurde in zwei neue Provinzen aufgeteilt: Kasaï und Kasaï-Central.,5.0,,True,grammar differs
Haptstod vo Distrikt is Boane.,Hauptstadt des Distrikts ist Boane.,5.0,,False,
"1986 hod da Hr. ""Dr. Alfred Maletta"" seine 26% Fiamananteu an em Hr. ""Rudolf Andreas Cuturi"" vakaft.",1986 verkaufte Alfred Maleta seine Anteile und das Unternehmen befindet sich seither zu 100 % in Familienbesitz.,3.0,Different details,False,
"On da Bohstreckn Roma Flaminio–Viterbo lieng de Stationa: Catalano, Civita Castellana und Pian Paradiso.","An der Bahnstrecke Roma Flaminio–Viterbo liegen die Stationen Catalano, Civita Castellana und Pian Paradiso.",5.0,,False,
Da Ort is Sitz vo da Vawoitungsgmoaschoft Weiding.,Weiding ist eine Gemeinde im Oberpfälzer Landkreis Cham.,2.0,,False,
Höselhurst is a Ortstei vo da Gmoa Neuburg an der Kammel im Landkroas Günzburg in Bayern.,Höselhurst ist ein Ortsteil des Marktes Neuburg an der Kammel im Landkreis Günzburg in Bayern.,4.0,,False,Gmoa ≠ Marktes
Dofia hod vom Arrondissement Béziers de Fläch vo da Gmoa Marseillan zum Arrondissement Montpellier gwexld.,Dafür wechselte vom Arrondissement Béziers die Fläche der Gemeinde Marseillan zum Arrondissement Montpellier.,5.0,,True,grammar differs
De Bsiedlung hod ob 1848 Elbridge Trask (1815–1863) oaganisiad.,Die Besiedlung organisierte ab 1848 Elbridge Trask (1815–1863).,5.0,,True,grammar differs
Ea umfosstn Osttei vom Esquilin mid da Stazione Termini.,Er umfasst den Ostteil des Esquilin mit der Stazione Termini.,5.0,,False,
Dee Kreisstroß AN 36 fiaht noch Westheim bzw. noch Leuckersdorf.,"Die Kreisstraße AN 36 führt nach Westheim (0,5 km westlich) bzw. nach Leuckersdorf (1,5 km östlich).",4.0,The dialect sentence misses details,False,
Martinsholzen is a Ortstei vo da Gmoa Berg im obabayerischn Landkroas Starnberg.,Martinsholzen ist ein Ortsteil der Gemeinde Berg im oberbayerischen Landkreis Starnberg.,5.0,,False,
Sitz vo da Vawoitungsgmoaschoft is Reichertshofen.,Sitz der Verwaltungsgemeinschaft ist Reichertshofen.,5.0,,False,
Bis zan 31. Dezemba 2005 hod aa da Kanton Ay zan Arrondissement ghead.,Bis zum 31. Dezember 2005 gehörte auch der Kanton Ay zum Arrondissement.,5.0,,True,grammar differs
Da Ort liegt af ana Häh vo 417 m iwam Meearesspiagl.,Der Ort liegt auf einer Höhe von 417 m über dem Meeresspiegel.,5.0,,False,
Da Østensjøsee is seit 1992 a Natuareservat.,Der Østensjøsee ist seit 1992 ein Naturreservat.,5.0,,False,
"Da ""Gregg Allman"" und da ""Dickey Betts"" san no Solo untawegs gwen.",Gregg Allman und Dickey Betts starteten Solokarrieren.,,,False,
"Se zejt uma 200.000 Sprecha und gheat zua de Gur-Sprochn, oana Untagruppn vo de Niger-Kongo-Sprochn.","Sie zählt etwa 200.000 Sprecher und gehört zu den Gur-Sprachen, einer Untergruppe der Niger-Kongo-Sprachen.",5.0,,False,
"De äjdaste eahoitane Eawähnung vo Albstadt findt se in oana Urkunde ausm Joar 1244 ois ""Albestat"".","Die älteste erhaltene Erwähnung von Albstadt findet sich in einer Urkunde aus dem Jahr 1244 als ""Albestat"".",5.0,,False,
Vatreta im Generoirod vom Département woa ob 2008 Michel Paumier (dvd).,Vertreter im Generalrat des Départements war ab 2008 Michel Paumier (DVD).,5.0,,True,"diff. in lowercase 
and uppercase"
Bis heit doaln se d Geddinna d Hawaii-Insel (d gressde Insl vom Bundesstoot Hawaii).,Bis heute teilen sie sich die beiden Göttinnen die Hawaii-Insel.,4.0,The dialect sentence adds details,False,
Den aun den schmehlign Friadnsvatrog homs de Franzosn d`Schuid gem.,"In der Schweiz ist die am häufigsten gefälschte Münze der Fünfliber, die 5-Franken-Münze.",1.0,,False,
Bourbon County is a Beziak im Bundesstoot Kansas in da USA.,Bourbon County ist ein County im Osten des Bundesstaates Kansas.,4.0,Different details,False,
Porto Cesareo grenzd unmiddlboa on de Provinz Tarent.,Porto Cesareo grenzt unmittelbar an die Provinz Tarent.,5.0,,False,
Sitz vo da Vawoitungsgmoaschoft is Margetshöchheim.,Sitz der Verwaltungsgemeinschaft ist Margetshöchheim.,5.0,,False,
An Bad Bayersoien voabei glongt ma noch Saulgruab.,An Bad Bayersoien vorbei gelangt man nach Saulgrub.,5.0,,False,
Im Dezember 1842 hoda noch Streitarein mit de Aktionären sein Direktorenpostn afgehm.,Im Dezember 1842 gab er nach Streitigkeiten mit den Aktionären seinen Direktorenposten auf.,5.0,,True,grammar differs
1927 woa ea Weaksfoahra ba Salmson.,1927 war er Werksfahrer bei Salmson.,5.0,,False,
"De Nochboagmoana san: Algua, Costa Serina, San Pellegrino Terme und Zogno.","Die Nachbargemeinden sind Algua, Costa Serina, San Pellegrino Terme und Zogno.",5.0,,False,
"Wessantlicha Untaschied is, dass de Vafassung reglmäße aschwert obgändat wern konn.","Wesentlicher Unterschied ist, dass die Verfassung regelmäßig erschwert abgeändert werden kann.",5.0,,False,
Se bsteht aus de Ortstei: Sonvico und Dino.,Sie besteht aus den Ortsteilen Sonvico und Dino.,5.0,,False,
Bei Eschau untaqueat da Aubach de Stootsstroß 2308 und mindt vo links in de Elsava.,Unterhalb von Eschau unterquert der Aubach die Staatsstraße 2308 und mündet von links in die Elsava.,4.0,The dialect sentence misses details,False,
Da Sitz vo da Vawoitung is Bardstown.,"Der Verwaltungssitz (County Seat) ist Bardstown, das nach ""William Bard"", einem Förderer der Stadt benannt wurde.",3.0,The dialect sentence misses details,False,
1691 is an ihra Stej a Kiach earicht worn.,1691 wurde an ihrer Stelle eine Kirche errichtet.,5.0,,True,grammar differs
Seitm 1. Jenna 1977 is Unterwittbach a Ortstei vo Kreuzwertheim.,Im Januar 1977 wurde Unterwittbach nach Kreuzwertheim eingemeindet.,4.0,,False,subtle diff. in meaning
Unterbreitenau is a Ortstei vo da Gmoa Geslau im Landkroas Ansbach in Middlfrankn.,"Unterbreitenau ist ein Gemeindeteil der Gemeinde Geslau im Landkreis Ansbach (Mittelfranken, Bayern).",4.0,The dialect sentence misses details,False,subtle diff. in meaning
Remlingen is a Moakt im untafränkischn Landkroas Wiazbuag und Mitglied vo da Vawoitungsgmoaschoft Helmstadt.,Remlingen ist ein Markt im unterfränkischen Landkreis Würzburg und Mitglied der Verwaltungsgemeinschaft Helmstadt.,5.0,,False,
"Im März 2014 hoz des Comeback-Album ""Reduziert"" gem. Produzieat hoz des ""Elektronik-Dreamteam Patrick Pulsinger/Christopher Just/Gerhard Potuznik.","Produziert von Patrick Pulsinger, Christopher Just und Gerhard Potuznik schließt das Album an alte Sounds an.",2.0,,False,
1864 endscheids se da Josef Wimmer fia de Grindung ana Zeidung und faungd mid de Vuabereitungan au.,"Danach führte Rudolf Andreas Cuturi, ein Nachkomme des Firmengründers Josef Wimmer, die Zeitung als Herausgeber.",2.0,,False,
Da Ort hod bis zum 31. Dezemba 1970 zua ehemolign Gmoa Irschenbach gheat.,Dietersdorf wurde 1966 von der damaligen Gemeinde Irschenbach nach Haselbach umgegliedert.,2.0,,False,
Vatreta im Generoirod vom Département woa zlezd vo 2011 bis 2015 Daniel David (PS).,Vertreter im Generalrat des Départements war zuletzt von 2011 bis 2015 Daniel David (PS).,5.0,,False,
Honnali is a Stoot im Bundesstoot Karnataka in Indien.,"Honnali ist eine Kleinstadt (""Town Panchayat"") im Bundesstaat Karnataka in Indien.",4.0,The dialect sentence misses details,False,
Om 8. Juni 1859 is Melegnano im zwoatn italienischn Unobhengigkeitskriag eastiamt.,Am 8. Juni 1859 wurde Melegnano im zweiten italienischen Unabhängigkeitskrieg erstürmt.,5.0,,False,
Währnd'm Zwoatn Wejdkriag hod se de Stod zu an Industriestondort entwicklt.,Während des Zweiten Weltkriegs entwickelte sich die Stadt zu einem Industriestandort.,5.0,,True,
De nomansgemnde Gmoa teitn in zwoa getrennte Bereiche.,Die namensgebende Gemeinde teilt ihn in zwei getrennte Bereiche.,5.0,,False,
Da Sitz vo da Vawoitung is Clanton.,"Der Verwaltungssitz (County Seat) ist Clanton, benannt nach General James Holt Clanton.",3.0,The dialect sentence misses details,False,
Donoch valaffta westli vo da Stod Pistoia noch Sidn.,Danach verläuft er westlich der Stadt Pistoia nach Süden.,5.0,,False,
Diese bfindn se af ana Häh vo 250 bis 300 Meta Häh iwa'm Meearesniveau.,Diese befinden sich auf einer Höhe von 250 bis 300 Metern Höhe über dem Meeresniveau.,5.0,,False,
Da See is friaha zua Wossavasoagung gnutzt worn; de Vasoagung is heit jedoch in diesa Hisicht eihgstejt.,Der See wurde früher zur Wasserversorgung genutzt; die Versorgung ist heute jedoch in dieser Hinsicht eingestellt.,5.0,,True,
Katzbrui is a Ortstei vo da Gmoa Apfeltrach.,Katzbrui ist ein Ortsteil der Gemeinde Apfeltrach im Landkreis Unterallgäu.,4.0,The dialect sentence misses details,False,
"Om hod se de Bevejkarung af Eihwohna (2,12 % vo da Gsomtbevejkarung vo Norwegn) belaffa.","Am 1. Januar 2019 belief sich die Bevölkerung auf 109.774 Einwohner (2,12 % der Gesamtbevölkerung Norwegens).",3.0,The dialect sentence misses details,False,
"De Gmoa liegt uma 8,5 Kilometa estli vo Rovigo in da Polesine.","Die Gemeinde liegt etwa 8,5 Kilometer östlich von Rovigo in der Polesine.",5.0,,False,
Da Hauptort is Campbell River.,Der Hauptort ist Campbell River.,5.0,,False,
"Brikama, im Distrikt Kombo Central, is mid 101.119 Eihwohna de gressde Ortschoft in da Western Region.","Brikama, im Distrikt Kombo Central, ist mit 101.119 Einwohnern die größte Ortschaft in der Western Region.",5.0,,False,
Trennfurt liegd om linkn Ufa vom Main af uma on da Bundesstroß 469 zwischn Laudenbach und Wörth am Main.,Trennfurt liegt am linken Ufer des Mains auf etwa an der Bundesstraße 469 zwischen Laudenbach und Wörth am Main.,5.0,,False,
"Obwoi Malmesbury oanst a Zentrum vo da Heastejung vo Spitze woa, hod de industrieje Revoluzion wenig Auswirkunga ghod.","Obwohl Malmesbury einst ein Zentrum der Herstellung von Spitze war, hatte die industrielle Revolution wenig Auswirkungen.",5.0,,True,
De Stod is om 3. Novemba 1941 grindd worn.,Die Stadt wurde am 3. November 1941 gegründet.,5.0,,True,
Da Nonnenboch (dt.: Nonnenbach) is a linka Zuafluss vo da Aschaff im Landkroas Aschaffnbuag im bayerischn Spessart.,Der Nonnenbach ist ein linker Zufluss der Aschaff im Landkreis Aschaffenburg im bayerischen Spessart.,4.0,The dialect sentence adds details,False,
In da Nomenklatua vo da EU entsprichd des ebba da NUTS-2-Ebane.,In der Nomenklatur der Europäischen Union entspricht diese Einteilung der NUTS-2-Ebene.,,,False,
"De Ortstei hoassn: Borgo Carillia, Cerrelli und Cerrocupo.","Die Ortsteile heißen Borgo Carillia, Cerrelli und Cerrocupo.",5.0,,False,
De 26 nochweisboan Grobstättn datian aus de Joahr 1849 bis 1886.,Die 26 nachweisbaren Grabstätten datieren aus den Jahren 1849 bis 1886.,5.0,,False,
"Duach Uffenheim valaffd de Bundesstroß 13, in gringa Entfeanung valaffd de A 7.","Die Staatsstraße 2256 führt nach Ulsenheim (5 km nordöstlich) bzw. über Adelhofen nach Simmershofen (7,5 km westlich).",1.0,,False,
Da Rophaien is a Beag vo de Schwyzer Oipn im Schweiza Kanton Uri.,Der Rophaien ist ein Berg der Schwyzer Alpen im Schweizer Kanton Uri.,5.0,,False,
"An Teu vo de Hunnen is nu vo de Ostrema in da Dobrutscha unta eanan Khan ""Ernak"" augsidlt wuan.",Ein Teil von ihnen (unter Ernak) wurde unter römischer Oberherrschaft in der späteren Dobrudscha angesiedelt.,,,False,
Zwischn 1941 und 1945 woa de Region um Varaždin – as Gebiet zwischn de Fliss Save und Drau – vo Ungarn annektiad.,Zur Zeit der Zugehörigkeit zum Königreich Ungarn und zum Königreich Kroatien und Slawonien war es Sitz des Komitats Varasd.,2.0,,False,
In England und Wales san's 1894 ins Lem gruafa worn.,In England und Wales wurden sie 1894 ins Leben gerufen.,5.0,,True,
Breathitt County is a Beziak im Bundesstoot Kentucky in da USA.,Breathitt County ist ein County im US-Bundesstaat Kentucky.,5.0,,False,phrasing differs
"Da Ostergraben is a linka Zuafluss vo da Helme in da Gmoa Werther im Landkroas Nordhausen, in Thüringen, in Deitschland.","Der Ostergraben ist ein linker Zufluss der Helme in der Gemeinde Werther im Landkreis Nordhausen, in Thüringen, in Deutschland.",5.0,,False,
Esselbach is da Haptort vo da boarischn Gmoa Esselbach im untafränkischn Landkroas Moa-Spessart.,Esselbach ist der Hauptort der Gemeinde Esselbach.,4.0,The dialect sentence adds details,False,
Anno 2016 wor d Symone Pressesekretärin vom Presidentschoftskandidatn Bernie Sanders.,Sie diente als nationale Pressesprecherin für den demokratischen Präsidentschaftskandidaten Bernie Sanders während seiner Präsidentschaftskampagne 2016.,3.0,The dialect sentence misses details,False,
"Olladings san de Kroas: Chur, Churwalden und Schanfigg afn 31. Dezemba 2015 afglesd worn.","Allerdings wurden die Kreise Chur, Churwalden und Schanfigg auf den 31. Dezember 2015 aufgelöst.",5.0,,True,
Duat is uma 1140 de Zisterzienserinnaabtei Fervaques duach de Zisterzienserinnaabtei Montreuil-les-Dames grindd worn.,Dort wurde um 1140 die Zisterzienserinnenabtei Fervaques durch die Zisterzienserinnenabtei Montreuil-les-Dames gegründet.,5.0,,True,
"De Fläch hod 1355 acres (5,48 km²) bedrong.","Die Fläche betrug 1355 Acres (5,48 km²).",5.0,,True,
"1946 san Au vorm Wald, Brandstatt, Hasenquanten und Schafberg aus da aufglestn Gmoa Au vorm Wald eihgmoant worn.","1946 wurden Au vorm Wald, Brandstatt, Hasenquanten und Schafberg aus der aufgelösten Gemeinde Au vorm Wald eingemeindet.",5.0,,True,
"As Doaf liegd uma 3 km noadestli vo Stadtlauringen, am Fuaß vo de Haßberge.","Das Dorf liegt circa drei Kilometer nordöstlich von Stadtlauringen, am Fuße der Haßberge.",5.0,,False,
